e,n,d
300.0,300.0,1163
300.0,300.0,1164
300.0,300.0,1165
300.0,300.0,1166
300.0,300.0,1167
300.0,300.0,1168
300.0,300.0,1169
300.0,300.0,1170
300.0,300.0,1171
300.0,300.0,1172
300.0,300.0,1173
300.0,300.0,1174
300.0,300.0,1175
300.0,300.0,1176
300.0,300.0,1177
300.0,300.0,1178
300.0,300.0,1179
300.0,300.0,1180
300.0,300.0,1181
300.0,300.0,1182
300.0,300.0,1183
300.0,300.0,1184
300.0,300.0,1185
300.0,300.0,1186
300.0,300.0,1187
300.0,300.0,1188
300.0,300.0,1189
300.0,300.0,1190
300.0,300.0,1191
300.0,300.0,1192
300.0,300.0,1193
300.0,300.0,1194
300.0,300.0,1195
300.0,300.0,1196
300.0,300.0,1197
300.0,300.0,1198
300.0,300.0,1199
300.0,300.0,1200
300.0,300.0,1201
300.0,300.0,1202
300.0,300.0,1203
300.0,300.0,1204
300.0,300.0,1205
300.0,300.0,1206
300.0,300.0,1207
300.0,300.0,1208
300.0,300.0,1209
300.0,300.0,1210
300.0,300.0,1211
300.0,300.0,1212
300.0,300.0,1213
300.0,300.0,1214
300.0,300.0,1215
300.0,300.0,1216
300.0,300.0,1217
300.0,300.0,1218
300.0,300.0,1219
300.0,300.0,1220
300.0,300.0,1221
300.0,300.0,1222
300.0,300.0,1223
300.0,300.0,1224
300.0,300.0,1225
300.0,300.0,1226
300.0,300.0,1227
300.0,300.0,1228
300.0,300.0,1229
300.0,300.0,1230
300.0,300.0,1231
300.0,300.0,1232
300.0,300.0,1233
300.0,300.0,1234
300.0,300.0,1235
300.0,300.0,1236
300.0,300.0,1237
300.0,300.0,1238
300.0,300.0,1239
300.0,300.0,1240
300.0,300.0,1241
300.0,300.0,1242
300.0,300.0,1243
300.0,300.0,1244
300.0,300.0,1245
300.0,300.0,1246
300.0,300.0,1247
300.0,300.0,1248
300.0,300.0,1249
300.0,300.0,1250
300.0,300.0,1251
300.0,300.0,1252
300.0,300.0,1253
300.0,300.0,1254
300.0,300.0,1255
300.0,300.0,1256
300.0,300.0,1257
300.0,300.0,1258
300.0,300.0,1259
300.0,300.0,1260
300.0,300.0,1261
300.0,300.0,1262
300.0,300.0,1263
300.0,300.0,1264
300.0,300.0,1265
300.0,300.0,1266
300.0,300.0,1267
300.0,300.0,1268
300.0,300.0,1269
300.0,300.0,1270
300.0,300.0,1271
300.0,300.0,1272
300.0,300.0,1273
300.0,300.0,1274
300.0,300.0,1275
300.0,300.0,1276
300.0,300.0,1277
300.0,300.0,1278
300.0,300.0,1279
300.0,300.0,1280
300.0,300.0,1281
300.0,300.0,1282
300.0,300.0,1283
300.0,300.0,1284
300.0,300.0,1285
300.0,300.0,1286
300.0,300.0,1287
300.0,300.0,1288
300.0,300.0,1289
300.0,300.0,1290
300.0,300.0,1291
300.0,300.0,1292
300.0,300.0,1293
300.0,300.0,1294
300.0,300.0,1295
300.0,300.0,1296
300.0,300.0,1297
300.0,300.0,1298
300.0,300.0,1299
300.0,300.0,1300
300.0,300.0,1301
300.0,300.0,1302
300.0,300.0,1303
300.0,300.0,1304
300.0,300.0,1305
300.0,300.0,1306
300.0,300.0,1307
300.0,300.0,1308
300.0,300.0,1309
300.0,300.0,1310
300.0,300.0,1311
300.0,300.0,1312
300.0,300.0,1313
300.0,300.0,1314
300.0,300.0,1315
300.0,300.0,1316
300.0,300.0,1317
300.0,300.0,1318
300.0,300.0,1319
300.0,300.0,1320
300.0,300.0,1321
300.0,300.0,1322
300.0,300.0,1323
300.0,300.0,1324
300.0,300.0,1325
300.0,300.0,1326
300.0,300.0,1327
300.0,300.0,1328
300.0,300.0,1329
300.0,300.0,1330
300.0,300.0,1331
300.0,300.0,1332
300.0,300.0,1333
300.0,300.0,1334
300.0,300.0,1335
300.0,300.0,1336
300.0,300.0,1337
300.0,300.0,1338
300.0,300.0,1339
300.0,300.0,1340
300.0,300.0,1341
300.0,300.0,1342
300.0,300.0,1343
300.0,300.0,1344
300.0,300.0,1345
300.0,300.0,1346
300.0,300.0,1347
300.0,300.0,1348
300.0,300.0,1349
300.0,300.0,1350
300.0,300.0,1351
300.0,300.0,1352
300.0,300.0,1353
300.0,300.0,1354
300.0,300.0,1355
300.0,300.0,1356
300.0,300.0,1357
300.0,300.0,1358
300.0,300.0,1359
300.0,300.0,1360
